,0
0,0.776161611
1,-0.248498544
2,0.160512999
3,0.850527585
4,-0.134358436
5,0.222376049
6,0.181620896
7,0.152826503
8,0.134166867
9,0.096200861
10,0.0456986539
11,-0.108104669
12,0.464021564
13,0.103624657
14,0.211331755
15,-0.468664974
16,0.191000968
17,0.334794462
18,0.108155064
19,0.253502578
20,0.368827283
21,-0.286423177
22,0.364328504
23,-0.182979569
24,-0.224659115
25,-0.0859970152
26,0.567903101
27,-0.884378314
28,0.0782794952
29,-0.0615172535
30,-0.0192909949
31,-0.299065948
32,0.288093448
33,-0.181038007
34,-0.679351091
35,-0.699419677
36,-0.235205591
37,-0.424594849
38,-1.15093899
39,-0.333046377
40,-0.028390348
41,0.138027295
42,-0.425205976
43,-0.165925622
44,0.0533015616
45,0.524923921
46,0.14703925
47,-0.733614743
48,-0.11363668
49,0.724750638
50,0.486624628
51,0.263595402
52,-0.53934449
53,0.189281926
54,0.470552921
55,0.282166719
56,-0.430119514
57,-0.459248364
58,-0.10034012
59,-0.81231451
60,0.681686759
61,0.252034932
62,0.188880607
63,0.134451225
64,-0.375436038
65,0.129757226
66,-0.671234488
67,-0.0819130465
68,0.353851765
69,0.349978298
70,-0.488686204
71,0.269330323
72,0.132539779
73,0.0651805401
74,0.120083869
75,0.0854424164
76,0.060565982
77,0.390102684
78,0.314871728
79,-1.05442131
80,0.590656042
81,0.477782935
82,0.103091255
83,0.140705064
84,-0.57084614
85,-0.0176538676
86,-0.582785547
87,0.210263386
88,0.457562417
89,0.645783067
90,0.024366783
91,-0.0918642059
92,0.153875411
93,-0.387997597
94,-0.23248595
95,0.164460033
96,-0.130670995
97,0.359582722
98,-0.216383234
99,0.362844169
100,0.267562777
101,0.696346879
102,0.946552336
103,0.591474891
104,-0.230942056
105,0.0319015644
106,-0.13726452
107,-0.18145223
108,-0.538357079
109,0.318798721
110,-0.411576331
111,0.146301255
112,-0.557499766
113,0.685754776
114,-0.156995565
115,0.137383699
116,0.507644236
117,-0.28791818
118,-1.15080583
119,0.266000718
120,-0.00829896051
121,0.187151015
122,-0.093153879
123,0.127310336
124,0.233127564
125,-0.263439596
126,0.0320874117
127,0.238248363
128,-0.590038419
129,-0.220828012
130,0.18518658
131,-0.76557523
132,0.646746457
133,-0.680413187
134,-0.00325711421
135,-0.130769327
136,-0.0107530113
137,0.0558659136
138,-0.708921254
139,0.133266017
140,-0.207169175
141,0.101410113
142,0.401673377
143,-1.15898693
144,-0.247530147
145,-0.618088484
146,0.277952284
147,-0.411564648
148,-0.496349752
149,-0.330113322
150,0.131404102
151,0.0958177596
152,-0.168185726
153,-0.822737575
154,-0.21851708
155,0.0751179829
156,-0.869018316
157,-0.181116894
158,0.133367315
159,-0.213091746
160,0.0615926012
161,0.107851341
162,0.793644905
163,0.612991571
164,0.301920652
165,-0.416269749
166,0.137577012
167,-0.110169679
168,-0.176870361
169,-0.377542704
170,-0.155226633
171,-0.577605426
172,-0.384085029
173,-0.200456545
174,0.369627476
175,0.357097596
176,-0.129326463
177,0.512910903
178,0.362121344
179,-0.105215229
180,0.011679315
181,-0.0666345954
182,0.771256208
183,-0.571562529
184,-0.138562799
185,-0.264885813
186,-0.0983139873
187,0.277395099
188,0.254172564
189,-0.0149430595
190,0.131984979
191,-0.315992177
192,0.960672736
193,0.532902658
194,0.182326347
195,-0.0735485926
196,-0.227705017
197,0.201436713
198,-0.0089564966
199,0.467083484
200,-0.0685884506
201,-0.639785826
202,-0.155492291
203,0.03867428
204,0.914473295
205,0.410686314
206,0.170327917
207,0.759450257
208,-0.661756039
209,0.374272764
210,-0.381361634
211,0.260740548
212,0.294260502
213,-0.386789829
214,0.0776772648
215,-0.305448174
216,-0.124949954
217,0.750285625
218,0.676995516
219,1.09962547
220,-0.243140578
221,0.0738672912
222,0.672177613
223,0.547048271
224,-0.928277075
225,0.275409043
226,-0.365742862
227,0.471677125
228,-0.813470364
229,-0.249666333
230,-1.64769435
231,-1.26908195
232,-0.0956639722
233,0.062894702
234,-0.468298048
235,0.149155766
236,0.201655835
237,-0.106976144
238,1.12327349
239,-0.527854383
240,-0.0751667693
241,-0.888901412
242,-0.195564672
243,-0.276372373
244,-0.497104824
245,0.885807395
246,0.360117257
247,-0.205392405
248,0.0141184973
249,-0.391044199
250,-0.0811052024
251,-0.82943517
252,-0.1340615
