,0
0,-0.114765793
1,-0.0152515573
2,0.115063719
3,0.0275963377
4,0.158462688
5,0.0335760042
6,0.00455603236
7,0.0273936875
8,-0.0320619754
9,-0.0167594552
10,0.0250574183
11,0.0431612469
12,0.181722477
13,0.052406311
14,-0.0332792588
15,0.0305322632
16,0.0590257794
17,-0.11393895
18,-0.0568751134
19,-0.0260303766
20,0.0323328637
21,-0.0201106649
22,-0.0375903696
23,-0.00240287092
24,0.254220366
25,-0.0255960841
26,0.00154577894
27,-0.0495714061
28,0.0358109027
29,-0.0458102413
30,0.0151131675
31,0.0342457928
32,-0.061238315
33,0.195669174
34,0.00753924483
35,0.0680336654
36,0.00473622326
37,0.0369072184
38,-0.0641380697
39,0.00349926809
40,0.0959105119
41,-0.0302419774
42,0.0579055436
43,0.00449053757
44,0.00213297526
45,-0.00931684021
46,0.00912439916
47,0.0342474915
48,-0.0511079393
49,-0.0243296064
50,-0.0789965168
51,-0.0111490702
52,0.0452539399
53,0.125022054
54,-0.0145944282
55,0.0422220565
56,0.012200498
57,0.0609845854
58,-0.00221074885
59,-0.06248248
60,0.040746443
61,0.154565871
62,-0.0455138683
63,-0.0467685349
64,-0.0282626394
65,-0.0181878991
66,0.00853283796
67,0.0102160405
68,0.0202451032
69,-0.0345518477
70,-0.0138919931
71,-0.00786530785
72,-0.00357617904
73,-0.0533029549
74,-0.0222156681
75,-0.0522420481
76,0.114307337
77,0.0513832234
78,-0.0130614378
79,0.0840451643
80,0.0356539786
81,0.0869589075
82,-0.0355646499
83,-0.0433385856
84,-0.0551279932
85,-0.100941919
86,0.0849306285
87,-0.0451913886
88,0.175842628
89,0.0193262976
90,0.0401752926
91,0.0662627891
92,-0.0330997482
93,0.00704694726
94,-0.0647002235
95,-0.0295151602
96,-0.0366709866
97,0.0745705813
98,-0.0351156965
99,0.0637236163
100,0.0281582959
101,-0.00679927878
102,0.0406549126
103,0.0116903614
104,0.0053429394
105,-0.00417384179
106,0.249275312
107,-0.0575309321
108,-0.025216246
109,-0.0360852554
110,0.0224675592
111,0.00197372283
112,-0.0759583786
113,0.0723135397
114,-0.0390683226
115,-0.0512264781
116,-0.083609581
117,0.0180648603
118,0.0621729605
119,0.183193028
120,-0.0742910951
121,0.0677693412
122,-0.0370661356
123,0.0308246668
124,0.0858894363
125,0.0684703588
126,0.0385947973
127,0.0432839207
128,-0.0451417007
129,-0.020500211
130,0.197730422
131,-0.00344541832
132,-0.00156659214
133,-0.0206955876
134,-0.0239972975
135,-0.0421352349
136,-0.0773100406
137,0.00845903344
138,0.0587025508
139,-0.00238916697
140,-0.0250328854
141,-0.0317588151
142,0.123027399
143,-0.0722702816
144,-0.0905889794
145,0.00138386316
146,0.0264346376
147,0.07386823
148,0.0848159641
149,0.0497724228
150,-0.0233266726
151,-0.0479026772
152,0.156264424
153,0.0414697416
154,-0.00896865223
155,0.103674464
156,0.0195238218
157,0.151068553
158,-0.118505374
159,-0.0363239571
160,0.17205599
161,-0.0643059388
162,0.0213089511
163,-0.0482058302
164,0.0224185791
165,-0.0504464917
166,-0.0800760537
167,0.050898701
168,0.167892277
169,0.0822223946
170,-0.101927422
171,-0.00692375563
172,0.0132299103
173,0.0718955845
174,0.0318042338
175,0.193287
176,-0.0141616957
177,0.00490431534
178,-0.0102253258
179,-0.0632243082
180,-0.0325528271
181,-0.067332767
182,-0.0385758877
183,0.0416866802
184,0.0646437407
185,0.03847133
186,-0.00407920266
187,0.222969025
188,-0.0511127971
189,-0.00217812601
190,-0.0571108572
191,0.0650327504
192,0.0984516144
193,0.0292408131
194,0.104821108
195,0.0605797134
196,-0.0359528139
197,-0.109358355
198,-0.0394762605
199,0.00251481379
200,-0.0454650633
201,0.0648992881
202,-0.0265891124
203,0.015867345
204,0.0647859722
205,0.015348996
206,-0.0188291837
207,-0.0355764776
208,-0.0344549939
209,0.0563117415
210,0.0539272167
211,-0.0381337442
212,0.0961662233
213,-0.0168204196
214,-0.00924384966
215,-0.0405273847
216,-0.0242349543
217,0.0262551531
218,0.0465731844
219,-0.00763970986
220,0.066603221
221,-0.0684662312
222,0.0105680805
223,0.0497978255
224,0.152420625
225,-0.0326438285
226,-0.0349135622
227,-0.00744211627
228,0.00096363551
229,-0.0237842053
230,0.0431600437
231,0.0145898014
232,-0.036766246
233,0.133817792
234,-0.0131188016
235,0.0526644997
236,-0.0387100354
237,0.0984003022
238,-0.0230223276
239,-0.0698398277
240,0.0501792133
241,-0.0468540154
242,0.0636410341
243,-0.0118522896
244,0.0180491172
245,-0.00723147718
246,-0.0129686734
247,0.0621601455
248,-0.0335499756
249,-0.0170627143
250,-0.0765010044
251,-0.0283840168
252,0.00514436327
253,0.131039873
254,0.0053078942
255,0.066188924
256,0.0556384958
257,-0.000243699644
258,-0.00272345496
259,-0.0858617648
260,0.0203313176
261,0.168926671
262,-0.0378769562
263,-0.0452189036
264,-0.0160577632
265,-0.0293174405
266,-0.00986295659
267,-0.0395903811
268,-0.01480857
269,0.0385955013
270,0.0731411204
271,0.0851143822
272,-0.0347425081
273,-0.0791608021
274,-0.0292898901
275,-0.0999485031
276,0.127277464
277,-0.0231011678
278,0.0556694902
279,0.00854485109
280,0.00211940822
281,0.0495811552
282,-0.00238551805
283,-0.069361724
284,-0.0872877762
285,-0.0440715402
286,0.0340279005
287,-0.0261329319
288,0.16903083
289,0.0691626295
290,-0.0137250433
291,0.140892148
292,-0.0352388956
293,-0.0149918944
294,-0.0712503493
295,0.00222065812
296,0.0159577113
297,-0.0762523934
298,0.019771846
299,0.0733131692
300,0.0156637523
301,-0.0098507097
302,0.0094522424
303,0.0353355035
304,0.00640519569
305,-0.0611952357
306,0.232497022
307,-0.0369442962
308,-0.0210125502
309,-0.0291107129
310,0.00821867213
311,-0.0185728874
312,3.45187254e-06
313,0.0178623591
314,-0.00910548307
315,-0.0432639308
316,-0.0714736879
317,-0.0254407469
318,0.0798498243
319,0.128500313
320,-0.0653722957
321,-0.0111362645
322,-0.00938568916
323,-0.0259465277
324,0.180633247
325,0.0404845886
326,0.0151239783
327,-0.0110225556
328,-0.023253791
329,0.0128834769
330,0.176641241
331,-0.0322002321
332,-0.0325622596
333,-0.00336449151
334,0.00419971114
